Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7467132158139173,0.9998143911361694,525.3274227528091,397.77482736423224,0.9999771118164062,577.6586639747192,342.25567649812734,0.9998635649681091,472.22473373127343,353.2618284761236,0.9996140003204346,668.3082426264045,414.6643112125468,0.9993964433670044,390.519297167603,437.20706782537457,0.9790582656860352,812.8884304775281,740.0572038857678,0.8289807438850403,246.9201340121723,749.7570663623595,0.988680362701416,910.9320868445693,1108.029465121723,0.994496762752533,89.94023583801498,1158.675166783708,0.9994872808456421,728.7361013576779,1156.8856068586142,0.9793704152107239,323.4493504213483,1104.5942327949438,0.7562147378921509,674.4935773642324,1678.4865110018727,0.8149908781051636,330.691640332397,1654.5069639513108,0.09387925267219543,27.207397003745314,1339.530225889513,0.09278514981269836,69.71569961376406,1408.8964477996255,0.08979806303977966,70.84196512172286,1458.1912745786517,0.07771724462509155,61.261045763108655,1435.8091935861423
1,0.7447202871827518,0.999808669090271,526.3391707631087,396.6450140449438,0.9999772310256958,577.8781162219101,342.91447214419475,0.9998654127120972,473.25959737827714,353.4557145365169,0.9995630979537964,670.1058491338952,415.9349762991573,0.9992663860321045,393.2097817181648,441.083984375,0.971710205078125,807.4722027153559,749.0048572097379,0.8561656475067139,242.87935978464418,751.9272296348315,0.9915473461151123,905.5262464887642,1111.7384275514983,0.9941573143005371,89.18488120318352,1133.443205758427,0.999704122543335,719.1984140917602,1179.6616046348315,0.9902160167694092,309.424376755618,1142.991719335206,0.7303311228752136,674.2973870552435,1682.83985838015,0.8282288312911987,331.74193878745325,1661.4754506086142,0.09111002087593079,66.16280430711612,1412.498829588015,0.0667489767074585,57.37359550561797,1411.5725948033707,0.09297814965248108,52.84677112593636,1442.014132724719,0.048866331577301025,94.66913916198507,1442.6319639513108
2,0.7328950710156384,0.9998379945755005,525.0519370318352,392.5039135650749,0.9999806880950928,578.5800708099251,342.3578680945693,0.9998608827590942,474.89005442415737,352.9495479283708,0.9995249509811401,671.5480893024344,414.7288667485955,0.9992959499359131,395.0812704822098,444.39500672986895,0.9715613126754761,806.4398993445693,749.2066801264045,0.8347755670547485,246.60419592696633,752.4498917368915,0.9935556650161743,905.6912745786517,1109.994221090824,0.9966485500335693,100.83322360720979,1123.7475128745318,0.9978550672531128,738.3808813202247,1204.6400983146068,0.9933894872665405,317.85975538389516,1164.8214390215355,0.6820764541625977,675.9129944990636,1686.8125292602997,0.7933233976364136,330.97509948501875,1650.4615812265918,0.059894710779190063,49.52726328417606,1413.2006378745318,0.038532763719558716,32.25692006086143,1398.163916198502,0.06850871443748474,67.65295821629218,1445.38594335206,0.030594050884246826,65.23214390215355,1433.1817649812735
3,0.7356883708168479,0.9998128414154053,523.5188436329588,393.1150880735019,0.9999801516532898,577.6761470037453,343.0865958567416,0.9998322129249573,472.9193732443821,354.35276217228466,0.999518632888794,671.2616309691011,415.2161970388577,0.9992989897727966,395.2750468164794,445.9060086025281,0.9717808961868286,805.1931179775281,750.0513518258427,0.838857889175415,244.85962371254686,750.2984550561798,0.9942467212677002,907.0944522471912,1107.759612008427,0.9976288080215454,107.31884216994388,1122.4659849016855,0.9992917776107788,730.2568322799625,1222.6171875,0.9923169016838074,311.3169329353933,1185.4070839185395,0.698973536491394,677.7052610018727,1691.103991104869,0.8193753361701965,330.1958977059925,1652.8815543071162,0.08034032583236694,59.812734082397014,1414.1568644662923,0.031716346740722656,61.509209679307105,1414.9565484550562,0.06184351444244385,64.37558520599254,1437.218515917603,0.02188742160797119,103.5079441713483,1441.9288389513108
4,0.7348504995598513,0.9998181462287903,524.2878043071162,393.07745201310865,0.9999791383743286,578.2702042368915,343.05162979868913,0.9998238682746887,473.77896769662925,354.4522106156367,0.9995334148406982,671.5873712546818,415.5446804775281,0.9993388056755066,394.994221090824,445.6004213483146,0.9721671342849731,803.3278470271537,748.5921406835206,0.8125505447387695,246.4398261938203,754.9343106273409,0.9928843379020691,908.492655664794,1106.6712020131085,0.9959624409675598,115.67766853932585,1121.2600948033707,0.9995293617248535,733.9676234784645,1224.1432584269664,0.9938797950744629,315.2510533707865,1200.6524315308989,0.745608389377594,673.0938377808989,1696.293597846442,0.8295886516571045,326.11979166666674,1660.1934105805244,0.04140320420265198,55.48067357209737,1419.0569405430713,0.019367843866348267,68.3015859082397,1418.218047752809,0.05742383003234863,75.61062587780901,1439.8648174157304,0.03359958529472351,78.2095256905431,1426.7778558052435
5,0.7330454903490403,0.9998042583465576,525.9234550561798,393.677580758427,0.999976396560669,578.9114437031835,343.40238764044943,0.9998133182525635,474.87725304307116,354.9682891502809,0.9995235800743103,672.1755032771537,416.4124312382959,0.9993425607681274,395.2125760767791,445.76226738061797,0.9704486131668091,808.3826369382023,747.7510533707865,0.8136597871780396,245.7347992743446,754.8854459269663,0.9903997182846069,913.0227352528091,1104.8306560159176,0.9950616359710693,121.08120464653564,1120.080538974719,0.999553918838501,734.732268258427,1223.9972495318352,0.9928653240203857,306.22286107209743,1204.3540788857679,0.7686688303947449,677.089697448502,1691.4432642790264,0.806035041809082,324.97746956928836,1673.4168714887642,0.03198787569999695,58.901348899812774,1419.117509363296,0.022268682718276978,59.76054102294012,1305.9859257958801,0.040394097566604614,67.5866104868914,1438.459298923221,0.031969696283340454,705.7064899344571,1943.6298864700375
6,0.7331810102743261,0.9998149871826172,526.3546055711611,396.8865943937266,0.9999756813049316,579.0436271067416,343.46328563904495,0.9998100399971008,473.9990783005618,355.10643433988764,0.9995766282081604,672.4458684456929,417.0037818937266,0.999330997467041,395.46926205524346,445.92272354868913,0.9668835401535034,812.9415379213483,748.4530079588015,0.7919352054595947,247.7798747659176,751.4741338951311,0.9901375770568848,915.6207572565543,1103.4635416666667,0.9952500462532043,122.10860691713481,1122.6670763108614,0.9996191263198853,739.7847904962548,1224.2602996254682,0.9925035238265991,305.6339243913858,1202.6224543539327,0.7717443704605103,671.338366104869,1700.6921523876406,0.8225793838500977,323.4537394662922,1673.5426907771537,0.03608134388923645,57.6765859082397,1428.3378686797753,0.02834630012512207,66.93000936329588,1428.2612066947565,0.041325539350509644,70.8520233497191,1438.0392673220974,0.029162883758544922,703.2655225889514,1946.6093164794008
7,0.7287075396846322,0.9998040199279785,526.3159088249064,397.952108204588,0.9999711513519287,579.1202890917604,344.07848343867045,0.999794602394104,466.9311066245318,354.1408444522472,0.9996221661567688,672.2429482677903,417.54015976123594,0.9993577599525452,395.16788096910113,445.68739758895134,0.9654712677001953,812.5359901685395,748.7248361423221,0.8020986318588257,246.92957045880155,753.3484755383895,0.9909679889678955,916.1746547284645,1103.2761294475656,0.9941046237945557,144.1187163506554,1123.6745084269664,0.999463677406311,739.1282625234082,1223.45469042603,0.9938673973083496,300.84891444288394,1199.4161107209738,0.6971637010574341,674.8100275046818,1698.175474016854,0.8523169755935669,327.90291432584274,1670.295382724719,0.0212690532207489,48.971646769662925,1420.020628511236,0.02730417251586914,56.91585469335206,1418.3182642790262,0.022508293390274048,159.31333391853934,1445.3615110018727,0.022942692041397095,704.0110750234082,1944.0228522940076
8,0.7249707877635956,0.9998016357421875,525.5623098080524,400.9225406718165,0.9999594688415527,578.8961551966293,345.5399622542135,0.9998140335083008,467.4989758895132,356.3081182701311,0.9995332956314087,672.3447741104869,420.5754769428839,0.9992541074752808,395.7716672518727,448.37550474016854,0.9631776809692383,813.3807350187267,747.4166081460675,0.7862690687179565,249.66943176498125,754.8201954588015,0.9868847131729126,919.0674742509364,1103.4486189138577,0.992408037185669,150.30123478464418,1125.5293188202247,0.9992982745170593,742.6067269428838,1224.5669475655432,0.9950175285339355,307.0194727294007,1195.1926059222847,0.6628345251083374,680.8950725655432,1689.4377633426966,0.8414386510848999,332.2248800327716,1665.8418188202247,0.01281750202178955,213.75263342696633,1784.6841350655432,0.015145599842071533,214.8741075608615,1796.3581168071162,0.030719220638275146,713.1299011001872,1936.712751638577,0.040130048990249634,706.4844481507491,1937.5127282303372
9,0.71975677504259,0.999777615070343,525.1298425795881,402.58273349719104,0.9999573826789856,579.7684047284645,345.7275207748128,0.9997936487197876,467.30227352528095,355.9561168656367,0.9995130300521851,672.7481273408241,421.3994469803371,0.9993783235549927,395.535317181648,447.04372220271534,0.9605048894882202,825.212576076779,745.0635680009364,0.7808249592781067,250.40642556179773,756.9711200842697,0.9828178882598877,921.0279143258426,1107.1202744616105,0.9949146509170532,133.5189533590824,1124.566874414794,0.9990822672843933,746.1480278558054,1224.4072594803372,0.9952646493911743,299.44880910580525,1193.4272588951312,0.6229560375213623,684.312821863296,1685.121722846442,0.8242290019989014,326.72145657771534,1661.1115987827716,0.019420981407165527,215.3272033005618,1797.6972144194758,0.019260942935943604,214.67352820692884,1807.946951076779,0.025557518005371094,130.07015156835212,1389.7031542602997,0.01261138916015625,148.62070605102997,1432.5962663857679
